thomas10's Team,99.12,vs.,126.62,kevinlab's Team
Baker Mayfield,16.72,QB,14.02,Ryan Tannehill
Mike Davis,2.3,RB,13.7,Devontae Booker
Joe Mixon,25.5,RB,11,AJ Dillon
Najee Harris,15.3,RB,33,Jonathan Taylor
Julio Jones,5.5,WR,6.1,DJ Moore
Brandin Cooks,8.6,WR,9.9,Jerry Jeudy
Bryan Edwards,0,WR,12.3,Jaylen Waddle
Devin Singletary,9.4,RB/WR/TE,1.2,Kadarius Toney
Dallas Goedert,5.8,TE,11.4,Donald Parham
Graham Gano,11,K,12,Matt Gay
Baltimore Ravens,-1,D/ST,2,Los Angeles Chargers

The NFC Least,80.38,vs.,125.04,Munch and the Munchkins
Joe Burrow,7.38,QB,30.64,Lamar Jackson
Jordan Howard,13.1,RB,12.6,Christian McCaffrey
Aaron Jones,5.3,RB,9.8,Damien Harris
Michael Carter,9.1,RB,4.1,Chuba Hubbard
A.J. Brown,6.7,WR,7.6,Adam Thielen
Chase Claypool,5.8,WR,11.5,Stefon Diggs
Ja'Marr Chase,5.9,WR,14.4,Hunter Renfrow
Javonte Williams,11.1,RB/WR/TE,7.7,Rashod Bateman
Tommy Sweeney,2,TE,7.7,Kyle Pitts
Tyler Bass,7,K,4,Evan McPherson
Dallas Cowboys,7,D/ST,15,Minnesota Vikings

LiamWallace's Team,72.1,vs.,129.78,Dak Label Player of the Game
Daniel Jones,8.1,QB,13.06,Matthew Stafford
Cordarrelle Patterson,16.6,RB,16.5,Melvin Gordon
Boston Scott,4,RB,9.2,Darrel Williams
Zack Moss,3.4,RB,4.8,Tony Pollard
Sammy Watkins,—,WR,13.9,Robert Woods
Courtland Sutton,3.4,WR,7.2,Davante Adams
Russell Gage,9.9,WR,13.42,Christian Kirk
Travis Kelce,15.3,TE,12.7,Darren Waller
Austin Hooper,2.4,RB/WR/TE,8,Dan Arnold
Mason Crosby,1,K,9,Michael Badgley
Las Vegas Raiders,8,D/ST,22,New England Patriots

JuJu and JuJuJu (Justin x3),103.14,vs.,143.48,JustinPaley's Team
Justin Herbert,31.64,QB,21.58,Kirk Cousins
Austin Ekeler,9.7,RB,13,Kenyan Drake
Chase Edmonds,0.3,RB,29.3,Nick Chubb
Josh Jacobs,11.5,RB,11.1,Ty Johnson
Tajae Sharpe,1.7,WR,7.3,Cole Beasley
Tyreek Hill,5.3,WR,6.8,Mike Williams
Justin Jefferson,15.5,WR,15,Cooper Kupp
Tim Patrick,16.5,RB/WR/TE,8.5,Emmanuel Sanders
Juwan Johnson,—,TE,8.9,Hunter Henry
Justin Tucker,10,K,13,Brandon McManus
Cincinnati Bengals,1,D/ST,9,Carolina Panthers

BForm's Team,113.96,vs.,113.48,micnaumann's Team
Teddy Bridgewater,21.86,QB,16.68,Jalen Hurts
Mark Ingram,8.9,RB,11.1,Ezekiel Elliott
Carlos Hyde,5.8,RB,13.7,Dalvin Cook
James Conner,37.8,RB,1.3,Khalil Herbert
Marvin Jones,3.6,WR,8.8,Deebo Samuel
Jarvis Landry,2.6,WR,9.2,Diontae Johnson
Amari Cooper,4.7,WR,14.9,Michael Pittman
Allen Robinson,8.8,RB/WR/TE,16.4,Keenan Allen
Mark Andrews,6.9,TE,7.4,Mike Gesicki
Jake Elliott,6,K,4,Randy Bullock
Los Angeles Rams,7,D/ST,10,Buffalo Bills

Pat n Ma'Homies,99.04,vs.,91.66,mdubey's Team
Patrick Mahomes,10.44,QB,9.56,Josh Allen
Darrell Henderson,7.3,RB,9.1,Adrian Peterson
Myles Gaskin,12.7,RB,18.4,Alvin Kamara
Rhamondre Stevenson,11.6,RB,5,Jeremy McNichols
Corey Davis,—,WR,3.3,CeeDee Lamb
Marquise Brown,16.1,WR,10.8,Tee Higgins
Laviska Shenault,4,WR,10,Marquez Callaway
Mecole Hardman,3.5,RB/WR/TE,1.3,Jakobi Meyers
C.J. Uzomah,4.4,TE,4.2,Zach Ertz
Nick Folk,6,K,10,Daniel Carlson
Cleveland Browns,23,D/ST,10,Pittsburgh Steelers

