LiamWallace's Team,142.82,vs.,102.72,kevinlab's Team
Aaron Rodgers,24.12,QB,18.82,Ryan Tannehill
Jamaal Williams,6.6,RB,1.2,Royce Freeman
David Montgomery,22.6,RB,6.9,D'Andre Swift
Antonio Gibson,14.5,RB,18.9,Jonathan Taylor
Mike Evans,11,WR,27.9,DJ Moore
Tyler Lockett,4.4,WR,4.4,Nick Westbrook-Ikhine
Courtland Sutton,6.2,WR,4.8,Jaylen Waddle
Cordarrelle Patterson,32.1,RB/WR/TE,2.6,Jalen Reagor
Travis Kelce,4.3,TE,6.2,T.J. Hockenson
Mason Crosby,9,K,6,Greg Zuerlein
Washington Commanders,8,D/ST,5,Miami Dolphins

Dak Label Player of the Game,136.1,vs.,156.42,Pat n Ma'Homies
Matthew Stafford,19.3,QB,31.72,Patrick Mahomes
Melvin Gordon,7.7,RB,15.4,Leonard Fournette
Saquon Barkley,26.1,RB,14.1,Darrell Henderson
Miles Sanders,6.2,RB,0.3,Myles Gaskin
Robert Woods,12.8,WR,6.4,Zach Pascal
Davante Adams,9.4,WR,17.1,Marquise Brown
Kenny Golladay,14.6,WR,27.3,Terry McLaurin
Christian Kirk,1,RB/WR/TE,18.1,Corey Davis
Darren Waller,13,TE,6,George Kittle
Matt Prater,14,K,10,Rodrigo Blankenship
Chicago Bears,12,D/ST,10,Cleveland Browns

thomas10's Team,113,vs.,70.72,JustinPaley's Team
Baker Mayfield,9.3,QB,22.62,Kyler Murray
Mike Davis,9.6,RB,0.2,Kenyan Drake
Joe Mixon,13.2,RB,11,Nick Chubb
Najee Harris,18.1,RB,1.3,Ty Johnson
Julio Jones,—,WR,1.6,Mike Williams
Chris Godwin,7,WR,8.9,Cooper Kupp
DK Metcalf,14.5,WR,11.5,Calvin Ridley
Brandin Cooks,7.2,RB/WR/TE,9.8,Antonio Brown
Dallas Goedert,13.1,TE,1.8,Robert Tonyan
Ryan Succop,15,K,1,Brandon McManus
Denver Broncos,6,D/ST,1,Philadelphia Eagles

The NFC Least,130.34,vs.,175.48,micnaumann's Team
Sam Darnold,31.54,QB,27.18,Jalen Hurts
Aaron Jones,9.4,RB,20.3,Ezekiel Elliott
Javonte Williams,7.4,RB,5.4,Dalvin Cook
Michael Carter,9.9,RB,18.4,Clyde Edwards-Helaire
Kalif Raymond,18.1,WR,7.1,Keenan Allen
Ja'Marr Chase,10.7,WR,31.7,Deebo Samuel
Rondale Moore,5.2,WR,8.9,Michael Pittman
Henry Ruggs,7.5,RB/WR/TE,16.3,Tyler Boyd
Noah Fant,13.6,TE,14.2,Mike Gesicki
Dustin Hopkins,4,K,—,Robbie Gould
Tampa Bay Buccaneers,13,D/ST,26,Buffalo Bills

BForm's Team,125.46,vs.,169.38,JuJu and JuJuJu (Justin x3)
Russell Wilson,21.56,QB,21.28,Justin Herbert
Mark Ingram,2.4,RB,28,Austin Ekeler
Derrick Henry,24.7,RB,15.9,Chase Edmonds
James Conner,18.6,RB,8.2,Josh Jacobs
Allen Robinson,7.8,WR,42.1,Tyreek Hill
Amari Cooper,14.4,WR,2.1,JuJu Smith-Schuster
Stefon Diggs,13.9,WR,17.4,Justin Jefferson
Marvin Jones,3.9,RB/WR/TE,5.4,Tim Patrick
Mark Andrews,9.2,TE,9,Juwan Johnson
Younghoe Koo,6,K,13,Justin Tucker
Los Angeles Rams,3,D/ST,7,San Francisco 49ers

Munch and the Munchkins,104.84,vs.,81.82,mdubey's Team
Lamar Jackson,19.44,QB,19.02,Josh Allen
Damien Harris,3.6,RB,15.6,Kareem Hunt
James Robinson,20.1,RB,12,Alvin Kamara
Chuba Hubbard,8.1,RB,3.6,Chris Carson
Odell Beckham,4.1,RB/WR/TE,-0.9,Sony Michel
DeAndre Hopkins,8.7,WR,7.4,Robbie Chosen
Adam Thielen,6.1,WR,12.8,Jakobi Meyers
DeVonta Smith,15.7,WR,2.3,CeeDee Lamb
Kyle Pitts,7,TE,—,Logan Thomas
Evan McPherson,6,K,2,Daniel Carlson
Tennessee Titans,6,D/ST,8,Pittsburgh Steelers

