Pat n Ma'Homies,121.28,vs.,140.58,Munch and the Munchkins
Patrick Mahomes,22.98,QB,11.78,Lamar Jackson
Leonard Fournette,27.7,RB,17.6,James Robinson
Darrell Henderson,23.7,RB,13,Chuba Hubbard
Myles Gaskin,2.4,RB,2.4,Demetric Felton
Marquise Brown,5.5,WR,19,DeAndre Hopkins
Terry McLaurin,4.8,WR,24.3,Adam Thielen
Laviska Shenault,8.4,WR,4.1,DeVonta Smith
Mecole Hardman,6.8,RB/WR/TE,19.4,Stefon Diggs
C.J. Uzomah,9,TE,5,Gerald Everett
Greg Joseph,10,K,11,Evan McPherson
Cleveland Browns,0,D/ST,13,Minnesota Vikings

thomas10's Team,114.58,vs.,145.66,BForm's Team
Taylor Heinicke,9.28,QB,10.86,Ben Roethlisberger
Joe Mixon,23.8,RB,9.1,Mark Ingram
Devin Singletary,6.8,RB,34.6,Derrick Henry
Najee Harris,21.7,RB,7.6,James Conner
Brandin Cooks,13.4,WR,19.5,Marvin Jones
Chris Godwin,6.8,WR,7.3,Allen Robinson
DK Metcalf,8.8,WR,8,Amari Cooper
Bryan Edwards,7.7,RB/WR/TE,10.4,Odell Beckham
Mo Alie-Cox,9.3,TE,15.3,Mark Andrews
Ryan Succop,4,K,2,Jake Elliott
Denver Broncos,3,D/ST,21,Los Angeles Rams

Dak Label Player of the Game,143.3,vs.,145.9,micnaumann's Team
Dak Prescott,26.8,QB,25,Jalen Hurts
Alex Collins,16.3,RB,15.4,Ezekiel Elliott
Darrel Williams,22.4,RB,21.3,Dalvin Cook
Miles Sanders,7.6,RB,18.2,Khalil Herbert
Robert Woods,10.1,WR,7.5,Keenan Allen
Davante Adams,10.9,WR,14.1,Diontae Johnson
Christian Kirk,16,WR,4.8,Michael Pittman
Melvin Gordon,8.8,RB/WR/TE,1.2,Tyler Boyd
Darren Waller,8.4,TE,10.4,Dalton Schultz
Matt Prater,15,K,11,Randy Bullock
New England Patriots,1,D/ST,17,Indianapolis Colts

JustinPaley's Team,148.16,vs.,104.9,LiamWallace's Team
Kyler Murray,25.76,QB,23.7,Aaron Rodgers
Brandon Bolden,0.7,RB,1.4,Jamaal Williams
Devonta Freeman,11.3,RB,4.9,Zack Moss
Kenyan Drake,20.3,RB,3.4,Antonio Gibson
Emmanuel Sanders,11.6,WR,3.7,Mike Evans
Mike Williams,3.7,WR,4.5,Tyler Lockett
Cooper Kupp,29.5,WR,19.4,Courtland Sutton
Hunter Henry,9.5,TE,13.9,Travis Kelce
Antonio Brown,19.8,RB/WR/TE,6,Dawson Knox
Brandon McManus,6,K,6,Mason Crosby
Carolina Panthers,10,D/ST,18,Las Vegas Raiders

kevinlab's Team,131.16,vs.,129.7,JuJu and JuJuJu (Justin x3)
Trevor Lawrence,15.86,QB,11,Justin Herbert
Devontae Booker,8.9,RB,7.5,Austin Ekeler
D'Andre Swift,15.2,RB,6.5,Chase Edmonds
Jonathan Taylor,28.3,RB,14.7,Josh Jacobs
DJ Moore,8.4,WR,16.4,A.J. Green
Jaylen Waddle,24,WR,18.1,Tyreek Hill
Kadarius Toney,5.1,WR,10,Justin Jefferson
Jalen Reagor,0,RB/WR/TE,11.7,Tim Patrick
T.J. Hockenson,11.4,TE,13.8,Ricky Seals-Jones
Matt Gay,8,K,12,Justin Tucker
Miami Dolphins,6,D/ST,8,Cincinnati Bengals

The NFC Least,121.38,vs.,162.62,mdubey's Team
Sam Darnold,15.08,QB,28.72,Josh Allen
Aaron Jones,19,RB,15,J.D. McKissic
Joshua Kelley,0.7,RB,9.3,Kareem Hunt
Javonte Williams,8.3,RB,4.2,Sony Michel
A.J. Brown,12.6,WR,8.9,Jakobi Meyers
Ja'Marr Chase,11.7,WR,31.6,CeeDee Lamb
Rondale Moore,4.1,WR,24.1,Donovan Peoples-Jones
Chase Claypool,2.7,RB/WR/TE,5.9,Tee Higgins
Noah Fant,20.2,TE,10.9,Zach Ertz
Tyler Bass,13,K,9,Harrison Butker
Dallas Cowboys,14,D/ST,15,Pittsburgh Steelers

