Pat n Ma'Homies,106.74,vs.,112.52,kevinlab's Team
Patrick Mahomes,36.24,QB,18.62,Ryan Tannehill
Leonard Fournette,13.2,RB,25.8,AJ Dillon
Darrell Henderson,6.1,RB,15,D'Andre Swift
Myles Gaskin,5,RB,21.6,Jonathan Taylor
Marquise Brown,6.7,WR,4.4,DJ Moore
Terry McLaurin,8.9,WR,8.1,Jerry Jeudy
Brandon Aiyuk,4.1,WR,8.1,Jaylen Waddle
Mecole Hardman,4,RB/WR/TE,0.9,Jalen Reagor
George Kittle,13.5,TE,0,T.J. Hockenson
Nick Folk,9,K,4,Matt Gay
Cleveland Browns,0,D/ST,6,Los Angeles Chargers

BForm's Team,81.44,vs.,153.42,Munch and the Munchkins
Teddy Bridgewater,9.04,QB,15.42,Lamar Jackson
Mark Ingram,18.8,RB,21.1,Christian McCaffrey
Le'Veon Bell,0.1,RB,19.2,D'Ernest Johnson
James Conner,13.9,RB,16.4,James Robinson
Marvin Jones,4.5,WR,9,Adam Thielen
Jarvis Landry,4.6,WR,26.2,Stefon Diggs
Amari Cooper,7.1,WR,11,Rashod Bateman
Nelson Agholor,3.1,RB/WR/TE,14.1,Hunter Renfrow
Mark Andrews,15.3,TE,8,Kyle Pitts
Younghoe Koo,3,K,3,Brian Johnson
Arizona Cardinals,2,D/ST,10,Tennessee Titans

Dak Label Player of the Game,125.74,vs.,84.92,thomas10's Team
Dak Prescott,26.34,QB,4.92,Baker Mayfield
Melvin Gordon,8.8,RB,1.8,Mike Davis
Alex Collins,5.4,RB,11.4,Devin Singletary
Darrel Williams,24.9,RB,15.3,Najee Harris
Davante Adams,11.3,WR,9.2,Chris Godwin
Christian Kirk,9.3,WR,4.1,DK Metcalf
Allen Lazard,1.1,WR,16.3,Bryan Edwards
Darren Waller,4.4,TE,3.8,Dallas Goedert
Dan Arnold,11.2,RB/WR/TE,1.1,Mo Alie-Cox
Matt Prater,5,K,7,Ryan Succop
New England Patriots,18,D/ST,10,Baltimore Ravens

The NFC Least,100.94,vs.,91.2,JustinPaley's Team
Derek Carr,18.24,QB,—,Kyler Murray
Elijah Mitchell,9.1,RB,8.5,Brandon Bolden
Javonte Williams,5.9,RB,4.1,Kenyan Drake
Michael Carter,16.2,RB,6.3,Ty Johnson
DeSean Jackson,2.3,WR,2.5,Cole Beasley
A.J. Brown,2.8,WR,5.3,Mike Williams
Rondale Moore,2.1,WR,17.7,Cooper Kupp
Noah Fant,8.4,RB/WR/TE,6.1,Emmanuel Sanders
Dalton Schultz,1.9,TE,17.7,Hunter Henry
Tyler Bass,9,K,7,Brandon McManus
Dallas Cowboys,25,D/ST,16,Carolina Panthers

JuJu and JuJuJu (Justin x3),106.7,vs.,84.68,LiamWallace's Team
Justin Herbert,12,QB,10.48,Aaron Rodgers
Austin Ekeler,13.4,RB,4.4,Cordarrelle Patterson
Josh Jacobs,6.1,RB,8.7,Zack Moss
Derrick Gore,1.9,RB,20.8,Antonio Gibson
Tajae Sharpe,0.5,WR,13.2,Mike Evans
Tyreek Hill,24,WR,3.3,Tyler Lockett
Justin Jefferson,18.4,WR,3.9,Courtland Sutton
Tim Patrick,2.9,RB/WR/TE,0,Russell Gage
Ricky Seals-Jones,4.5,TE,15.9,Travis Kelce
Justin Tucker,5,K,5,Mason Crosby
San Francisco 49ers,18,D/ST,-1,Las Vegas Raiders

micnaumann's Team,145.16,vs.,99.54,mdubey's Team
Tom Brady,13,QB,20.94,Josh Allen
Ezekiel Elliott,19.26,RB,2.5,Adrian Peterson
Dalvin Cook,19.3,RB,5.9,J.D. McKissic
Aaron Jones,10.6,RB,1.3,Jeremy McNichols
Deebo Samuel,27.8,WR,25.6,CeeDee Lamb
Diontae Johnson,9.8,WR,2.1,Donovan Peoples-Jones
Michael Pittman,9.6,WR,10.7,Marquez Callaway
Keenan Allen,13.8,RB/WR/TE,12.9,Jakobi Meyers
Mike Gesicki,0,TE,6.6,Zach Ertz
Robbie Gould,9,K,2,Daniel Carlson
Buffalo Bills,13,D/ST,9,Pittsburgh Steelers

