JustinPaley's Team,101.4,vs.,79.72,Munch and the Munchkins
Kirk Cousins,20.2,QB,17.62,Lamar Jackson
Devonta Freeman,18.2,RB,11.1,Cordarrelle Patterson
Kenyan Drake,1.3,RB,17.1,Damien Harris
Ty Johnson,2.5,RB,2,James Robinson
Cole Beasley,1.6,WR,0.5,Adam Thielen
Mike Williams,13.5,WR,7.1,Stefon Diggs
Cooper Kupp,22.9,WR,2.5,DeVonta Smith
DeAndre Hopkins,10.2,RB/WR/TE,0,Rashod Bateman
Hunter Henry,—,TE,6.8,Kyle Pitts
Brandon McManus,4,K,5,Evan McPherson
Philadelphia Eagles,7,D/ST,10,Minnesota Vikings

kevinlab's Team,100.56,vs.,115.96,The NFC Least
Mac Jones,0.46,QB,12.36,Derek Carr
Latavius Murray,4.5,RB,9.2,Tevin Coleman
Jonathan Taylor,24.3,RB,15.9,Elijah Mitchell
Eno Benjamin,1.8,RB,26.8,Javonte Williams
Jerry Jeudy,9.7,WR,6.4,Chase Claypool
Darnell Mooney,5.2,WR,7.7,Ja'Marr Chase
Jaylen Waddle,13.5,WR,1.5,Rondale Moore
T.J. Hockenson,12.9,TE,6.8,Dalton Schultz
Jalen Reagor,1.2,RB/WR/TE,5.3,Noah Fant
Matt Gay,15,K,4,Tyler Bass
Miami Dolphins,12,D/ST,20,Dallas Cowboys

JuJu and JuJuJu (Justin x3),152.18,vs.,104.22,Dak Label Player of the Game
Justin Herbert,25.28,QB,11.22,Dak Prescott
Rex Burkhead,5,RB,10.4,Saquon Barkley
Austin Ekeler,14.9,RB,19.9,Alexander Mattison
Josh Jacobs,19.5,RB,14.4,Tony Pollard
Kendrick Bourne,0.3,RB/WR/TE,15.7,Miles Sanders
Tyreek Hill,3.2,WR,8.7,DeVante Parker
Michael Gallup,12.1,WR,5.2,Kenny Golladay
Justin Jefferson,30.1,WR,0.9,Christian Kirk
Rob Gronkowski,19.8,TE,1.8,Jack Doyle
Justin Tucker,7,K,7,Michael Badgley
San Francisco 49ers,15,D/ST,9,New England Patriots

BForm's Team,95.24,vs.,110.76,Pat n Ma'Homies
Russell Wilson,16.74,QB,12.56,Patrick Mahomes
Mark Ingram,3.1,RB,18.7,Leonard Fournette
Carlos Hyde,6.8,RB,5.9,Myles Gaskin
James Conner,18.1,RB,7.8,Rhamondre Stevenson
Odell Beckham,9.8,RB/WR/TE,—,Darrell Henderson
Marvin Jones,2.1,WR,8,Marquise Brown
Allen Robinson,—,WR,3.7,Terry McLaurin
Nelson Agholor,0.6,WR,7,Brandon Aiyuk
Mark Andrews,7,TE,35.1,George Kittle
Jake Elliott,17,K,7,Nick Folk
Arizona Cardinals,14,D/ST,5,New York Giants

LiamWallace's Team,123.68,vs.,159.22,micnaumann's Team
Mike Glennon,5.48,QB,28.62,Tom Brady
Jamaal Williams,8.5,RB,5.7,Ezekiel Elliott
David Montgomery,24.1,RB,2.1,Austin Walter
Antonio Gibson,19.6,RB,9.7,Clyde Edwards-Helaire
Mike Evans,13.4,WR,26.5,Diontae Johnson
Tyler Lockett,16.3,WR,14,Michael Pittman
Hunter Renfrow,14.7,WR,17.6,Elijah Moore
Dawson Knox,2.4,RB/WR/TE,19.9,Keenan Allen
Travis Kelce,4.2,TE,6.1,Pat Freiermuth
Jason Sanders,10,K,7,Robbie Gould
Washington Commanders,5,D/ST,22,Indianapolis Colts

thomas10's Team,116.94,vs.,114.9,mdubey's Team
Taylor Heinicke,14.84,QB,11.7,Josh Allen
Joe Mixon,9.4,RB,—,J.D. McKissic
Devin Singletary,3.6,RB,20.4,Sony Michel
Najee Harris,13.2,RB,0,DeeJay Dallas
Brandin Cooks,6.9,WR,—,Jakobi Meyers
Chris Godwin,22.7,WR,15.7,CeeDee Lamb
DK Metcalf,8.5,WR,24.3,Tee Higgins
Dallas Goedert,25.5,TE,1.5,Zach Ertz
Curtis Samuel,0.3,RB/WR/TE,12.3,Logan Thomas
Chris Boswell,9,K,11,Daniel Carlson
Baltimore Ravens,3,D/ST,18,Pittsburgh Steelers

