micnaumann's Team,143.52,vs.,92.94,kevinlab's Team
Tom Brady,30.12,QB,16.54,Ryan Tannehill
Ezekiel Elliott,8.5,RB,6.1,Latavius Murray
Aaron Jones,20,RB,7.1,AJ Dillon
Clyde Edwards-Helaire,17.7,RB,—,Eno Benjamin
Diontae Johnson,12.8,WR,11.4,DJ Moore
Van Jefferson,13.8,WR,7.2,Jerry Jeudy
Elijah Moore,—,WR,2.4,Darnell Mooney
Deebo Samuel,12.4,RB/WR/TE,17.9,Allen Lazard
Pat Freiermuth,10.2,TE,2.3,Donald Parham
Robbie Gould,8,K,14,Matt Gay
New Orleans Saints,10,D/ST,8,Los Angeles Chargers

LiamWallace's Team,148.94,vs.,125.42,The NFC Least
Aaron Rodgers,29.64,QB,22.22,Joe Burrow
Godwin Igwebuike,0.5,RB,—,Brian Hill
David Montgomery,11.1,RB,—,Austin Walter
Antonio Gibson,3.1,RB,20.8,Javonte Williams
Mike Evans,18.1,WR,13.5,Chase Claypool
Tyler Lockett,24.7,WR,22.8,Ja'Marr Chase
Hunter Renfrow,22.2,WR,3.1,Rondale Moore
Travis Kelce,4.2,TE,0.9,Dalton Schultz
Russell Gage,8.4,RB/WR/TE,7.1,Noah Fant
Mason Crosby,9,K,9,Tyler Bass
Washington Commanders,18,D/ST,26,Dallas Cowboys

Munch and the Munchkins,100.58,vs.,114.18,thomas10's Team
Lamar Jackson,1.18,QB,7.68,Taylor Heinicke
Cordarrelle Patterson,12.9,RB,7.8,Joe Mixon
Dontrell Hilliard,1.3,RB,11.9,Devin Singletary
Chuba Hubbard,9.3,RB,23.9,Najee Harris
James Robinson,0.4,RB/WR/TE,11.1,Mike Davis
Stefon Diggs,10.9,WR,14.1,Brandin Cooks
Jalen Guyton,16.2,WR,15.5,Chris Godwin
K.J. Osborn,15.8,WR,6.3,DK Metcalf
Kyle Pitts,8.6,TE,1.9,Jimmy Graham
Evan McPherson,12,K,2,Chris Boswell
Minnesota Vikings,12,D/ST,12,Denver Broncos

BForm's Team,145.4,vs.,133.14,Dak Label Player of the Game
Russell Wilson,21.2,QB,9.94,Dak Prescott
Giovani Bernard,—,RB,17,Saquon Barkley
Carlos Hyde,1.3,RB,5.6,Jeff Wilson
James Conner,29,RB,2.7,Alexander Mattison
Odell Beckham,16.7,RB/WR/TE,23.1,Melvin Gordon
Marvin Jones,10,WR,29.1,Davante Adams
Jarvis Landry,12.6,WR,2.5,Kenny Golladay
Amari Cooper,13.6,WR,10.1,Christian Kirk
Mark Andrews,23,TE,4.1,James O'Shaughnessy
Younghoe Koo,12,K,16,Matt Prater
Arizona Cardinals,6,D/ST,13,Atlanta Falcons

Pat n Ma'Homies,133.62,vs.,132.8,JuJu and JuJuJu (Justin x3)
Patrick Mahomes,20.32,QB,24.9,Justin Herbert
Leonard Fournette,21.2,RB,8.6,Rex Burkhead
Jermar Jefferson,—,RB,15.4,Austin Ekeler
Mekhi Sargent,—,RB,7.5,Josh Jacobs
Marquise Brown,6.6,WR,9.6,Tyreek Hill
Terry McLaurin,0,WR,8.5,Michael Gallup
Brandon Aiyuk,15.6,WR,17,Justin Jefferson
Amon-Ra St. Brown,11.3,RB/WR/TE,4.6,Nick Westbrook-Ikhine
George Kittle,27.6,TE,8.7,Rob Gronkowski
Greg Joseph,13,K,15,Justin Tucker
Cleveland Browns,18,D/ST,13,San Francisco 49ers

JustinPaley's Team,114.32,vs.,110.92,mdubey's Team
Kyler Murray,17.42,QB,35.22,Josh Allen
Devonta Freeman,9.7,RB,2.8,Kareem Hunt
Nick Chubb,8,RB,22.5,Alvin Kamara
Ty Johnson,7.7,RB,,
Cole Beasley,10.9,WR,3.4,Jamison Crowder
Mike Williams,9.1,WR,11.1,CeeDee Lamb
Cooper Kupp,24.8,WR,13.9,Tee Higgins
DeAndre Hopkins,7.9,RB/WR/TE,—,Jakobi Meyers
Jared Cook,7.8,TE,3,Tyler Conklin
Brandon McManus,10,K,3,Daniel Carlson
Carolina Panthers,1,D/ST,16,Green Bay Packers

