LiamWallace's Team,137.92,vs.,130.06,Dak Label Player of the Game
Aaron Rodgers,23.82,QB,15.46,Matthew Stafford
David Montgomery,8.8,RB,6.6,Melvin Gordon
Craig Reynolds,12.2,RB,7.4,Saquon Barkley
Antonio Gibson,15.5,RB,18.9,Jeff Wilson
Dawson Knox,5.8,RB/WR/TE,15.6,Miles Sanders
Mike Evans,1.9,WR,13.4,Davante Adams
Russell Gage,19.1,WR,14.8,DeVante Parker
Hunter Renfrow,4.7,WR,19.9,Christian Kirk
Travis Kelce,36.1,TE,8,James O'Shaughnessy
Jason Sanders,7,K,6,Matt Prater
Jacksonville Jaguars,3,D/ST,4,New England Patriots

Munch and the Munchkins,132.3,vs.,118.36,micnaumann's Team
Tyler Huntley,35.9,QB,4.76,Tom Brady
Cordarrelle Patterson,3.3,RB,14.7,Ezekiel Elliott
D'Onta Foreman,14.5,RB,10.1,Dalvin Cook
James Robinson,16.3,RB,8,Clyde Edwards-Helaire
DeVonta Smith,5.5,RB/WR/TE,14,Aaron Jones
Stefon Diggs,11.5,WR,16.8,Keenan Allen
K.J. Osborn,3.6,WR,16.9,Deebo Samuel
Rashod Bateman,1,WR,7.3,Diontae Johnson
Kyle Pitts,9.7,TE,6.8,Mike Gesicki
Evan McPherson,13,K,7,Robbie Gould
Minnesota Vikings,18,D/ST,12,Buffalo Bills

thomas10's Team,126,vs.,61.24,BForm's Team
Justin Fields,16.9,QB,4.24,Russell Wilson
Joe Mixon,6.5,RB,—,Giovani Bernard
Devin Singletary,16.1,RB,—,Carlos Hyde
Najee Harris,3.6,RB,8,James Conner
Brandin Cooks,25.7,WR,2.4,Marvin Jones
Chris Godwin,7.9,WR,—,Jarvis Landry
DK Metcalf,8.2,WR,1.8,Amari Cooper
Mike Davis,2.1,RB/WR/TE,1.2,Odell Beckham
Dallas Goedert,17,TE,30.6,Mark Andrews
Chris Boswell,15,K,8,Younghoe Koo
Denver Broncos,7,D/ST,5,Arizona Cardinals

mdubey's Team,100.4,vs.,85.68,The NFC Least
Josh Allen,20.8,QB,12.78,Joe Burrow
Ameer Abdullah,13.5,RB,—,Elijah Mitchell
Alvin Kamara,4.1,RB,10.1,Javonte Williams
Sony Michel,12.5,RB,2.5,Michael Carter
Jamison Crowder,6.5,WR,8.7,Laquon Treadwell
CeeDee Lamb,8,WR,1.9,Chase Claypool
Tee Higgins,3.3,WR,0.8,Ja'Marr Chase
Zach Ertz,10.4,TE,16.7,Dalton Schultz
Jakobi Meyers,8.3,RB/WR/TE,8.2,Noah Fant
Daniel Carlson,12,K,7,Tyler Bass
Green Bay Packers,1,D/ST,17,Dallas Cowboys

