Dak Label Player of the Game,138.98,vs.,169.98,Munch and the Munchkins
Dak Prescott,20.68,QB,41.88,Lamar Jackson
Damien Williams,15.4,RB,9.8,Damien Harris
Saquon Barkley,0.9,RB,21.2,James Robinson
Miles Sanders,7.6,RB,15.9,Chuba Hubbard
Robert Woods,21,WR,17.7,DeAndre Hopkins
Davante Adams,32.1,WR,5,Adam Thielen
Kenny Golladay,0,WR,11.2,DeVonta Smith
Alexander Mattison,22.8,RB/WR/TE,7.9,Stefon Diggs
Darren Waller,6.5,TE,22.4,Kyle Pitts
Matt Prater,5,K,2,Evan McPherson
New England Patriots,7,D/ST,15,Tennessee Titans

JuJu and JuJuJu (Justin x3),142.22,vs.,120.28,The NFC Least
Justin Herbert,42.82,QB,6.08,Sam Darnold
Austin Ekeler,30.4,RB,12.9,Aaron Jones
Chase Edmonds,2.9,RB,7.2,Elijah Mitchell
Josh Jacobs,14.7,RB,13.3,Michael Carter
A.J. Green,1.8,WR,5.3,A.J. Brown
Tyreek Hill,11.3,WR,6.6,Henry Ruggs
Justin Jefferson,15.9,WR,24.9,Ja'Marr Chase
Tim Patrick,12.4,RB/WR/TE,21.5,Chase Claypool
Juwan Johnson,0,TE,3.5,Noah Fant
Justin Tucker,3,K,8,Tyler Bass
San Francisco 49ers,7,D/ST,11,Tampa Bay Buccaneers

micnaumann's Team,120.32,vs.,124.5,thomas10's Team
Jalen Hurts,22.92,QB,23,Baker Mayfield
Ezekiel Elliott,24.2,RB,11.1,Mike Davis
Clyde Edwards-Helaire,2.9,RB,10,Joe Mixon
Trey Sermon,0.7,RB,21.2,Najee Harris
Tyler Boyd,4.4,RB/WR/TE,2.8,Devin Singletary
Keenan Allen,10.5,WR,3.8,Brandin Cooks
Deebo Samuel,14.6,WR,10.5,Chris Godwin
Diontae Johnson,14.2,WR,24.3,DK Metcalf
Dalton Schultz,10.9,TE,3.8,Dallas Goedert
Randy Bullock,7,K,10,Ryan Succop
New Orleans Saints,8,D/ST,4,Denver Broncos

JustinPaley's Team,168.86,vs.,143.28,Pat n Ma'Homies
Kyler Murray,13.66,QB,18.98,Patrick Mahomes
Brandon Bolden,5.1,RB,19,Leonard Fournette
Tevin Coleman,1.1,RB,16.4,Darrell Henderson
Nick Chubb,23.5,RB,26.9,Myles Gaskin
Emmanuel Sanders,18.9,WR,29,Marquise Brown
Mike Williams,32.5,WR,6.6,Terry McLaurin
Cooper Kupp,12.7,WR,6.3,Laviska Shenault
Antonio Brown,27.9,RB/WR/TE,6.5,Corey Davis
Hunter Henry,16.5,TE,2.6,C.J. Uzomah
Brandon McManus,7,K,8,Rodrigo Blankenship
Carolina Panthers,10,D/ST,3,Cleveland Browns

BForm's Team,135.28,vs.,164.76,LiamWallace's Team
Russell Wilson,9.08,QB,19.76,Aaron Rodgers
Mark Ingram,4.1,RB,14.9,Cordarrelle Patterson
Derrick Henry,31,RB,7.5,Jamaal Williams
James Conner,10.2,RB,20.2,Antonio Gibson
Allen Robinson,5.2,RB/WR/TE,10.7,Zack Moss
Marvin Jones,3,WR,26.3,Mike Evans
Odell Beckham,3,WR,8.2,Tyler Lockett
Amari Cooper,13.5,WR,21.5,Courtland Sutton
Mark Andrews,36.2,TE,14.7,Travis Kelce
Younghoe Koo,11,K,16,Mason Crosby
Los Angeles Rams,9,D/ST,5,Las Vegas Raiders

kevinlab's Team,116.38,vs.,137.5,mdubey's Team
Ryan Tannehill,13.98,QB,36.5,Josh Allen
AJ Dillon,15.9,RB,1.2,J.D. McKissic
D'Andre Swift,19.4,RB,23.4,Kareem Hunt
Jonathan Taylor,30.4,RB,26.7,Alvin Kamara
DJ Moore,6.3,WR,6.4,Jamison Crowder
Darnell Mooney,5,WR,7.6,Jakobi Meyers
Jaylen Waddle,4.3,WR,16.8,CeeDee Lamb
Jalen Reagor,3.9,RB/WR/TE,7.7,Tee Higgins
T.J. Hockenson,3.2,TE,1.2,Zach Ertz
Matt Gay,9,K,3,Daniel Carlson
New York Jets,5,D/ST,7,Pittsburgh Steelers

