Dak Label Player of the Game,138.12,vs.,109.68,kevinlab's Team
Dak Prescott,19.12,QB,21.48,Ryan Tannehill
Melvin Gordon,14.7,RB,2.8,Latavius Murray
Saquon Barkley,18.4,RB,20.2,D'Andre Swift
Miles Sanders,7,RB,7.7,Jonathan Taylor
Robert Woods,5.3,WR,16.5,DJ Moore
Davante Adams,25.2,WR,1.4,Darnell Mooney
Kenny Golladay,8.4,WR,10.8,Jaylen Waddle
Alexander Mattison,20.1,RB/WR/TE,7.8,Jalen Reagor
Darren Waller,7.9,TE,2,T.J. Hockenson
Matt Prater,7,K,5,Greg Zuerlein
New England Patriots,5,D/ST,14,Miami Dolphins

micnaumann's Team,142.14,vs.,88.78,Munch and the Munchkins
Jalen Hurts,20.54,QB,18.28,Lamar Jackson
Ezekiel Elliott,25.1,RB,5,Christian McCaffrey
Clyde Edwards-Helaire,15.9,RB,2.1,Damien Harris
Trey Sermon,10.4,RB,21.4,James Robinson
Keenan Allen,15,WR,3.6,DeAndre Hopkins
Deebo Samuel,7.7,WR,14,Adam Thielen
Michael Pittman,10.3,WR,4.3,DeVonta Smith
Tyler Boyd,11.6,RB/WR/TE,3.6,K.J. Osborn
Mike Gesicki,13.6,TE,4.5,Kyle Pitts
Robbie Gould,4,K,6,Jason Myers
Buffalo Bills,8,D/ST,6,Tennessee Titans

The NFC Least,87.98,vs.,153.34,thomas10's Team
Joe Burrow,17.58,QB,16.94,Baker Mayfield
Aaron Jones,15.6,RB,9,Mike Davis
Javonte Williams,11.7,RB,9.9,Joe Mixon
Michael Carter,3.9,RB,21.2,Najee Harris
A.J. Brown,0.3,WR,6.2,Julio Jones
Ja'Marr Chase,20.5,WR,16.6,Chris Godwin
Rondale Moore,0.4,WR,19.7,DK Metcalf
Henry Ruggs,10.5,RB/WR/TE,16.2,Brandin Cooks
Noah Fant,2.5,TE,7.6,Dallas Goedert
Dustin Hopkins,3,K,6,Graham Gano
Tampa Bay Buccaneers,2,D/ST,24,Denver Broncos

LiamWallace's Team,127.64,vs.,112.6,Pat n Ma'Homies
Daniel Jones,14.54,QB,22.9,Patrick Mahomes
Jamaal Williams,13.7,RB,4.9,Leonard Fournette
David Montgomery,6.5,RB,8.9,Myles Gaskin
Antonio Gibson,16.9,RB,0.6,Jake Funk
Mike Evans,14.6,WR,4.1,Zach Pascal
Tyler Lockett,5.1,WR,6.8,Marquise Brown
Courtland Sutton,6.2,WR,8.2,Terry McLaurin
Cordarrelle Patterson,13.2,RB/WR/TE,6.6,Corey Davis
Travis Kelce,13.9,TE,13.6,George Kittle
Mason Crosby,14,K,11,Rodrigo Blankenship
New York Giants,9,D/ST,25,Cleveland Browns

BForm's Team,108.42,vs.,132.34,JustinPaley's Team
Russell Wilson,16.62,QB,18.54,Kyler Murray
Mark Ingram,2.5,RB,0.6,James White
Derrick Henry,17.9,RB,7.2,Kenyan Drake
James Conner,17.8,RB,8.4,Nick Chubb
Allen Robinson,3.7,WR,29.7,Mike Williams
Amari Cooper,4.1,WR,26.1,Cooper Kupp
Stefon Diggs,9.2,WR,10.1,Calvin Ridley
Marvin Jones,9.2,RB/WR/TE,2.6,Sterling Shepard
Mark Andrews,13.4,TE,1.1,Robert Tonyan
Younghoe Koo,6,K,16,Brandon McManus
Los Angeles Rams,8,D/ST,12,Philadelphia Eagles

JuJu and JuJuJu (Justin x3),132.94,vs.,142.42,mdubey's Team
Justin Herbert,30.84,QB,37.22,Josh Allen
David Johnson,1.1,RB,24.5,Kareem Hunt
Austin Ekeler,19.7,RB,19.3,Alvin Kamara
Chase Edmonds,11,RB,15.2,Chris Carson
Tim Patrick,12.3,RB/WR/TE,4.8,J.D. McKissic
Tyreek Hill,7.2,WR,1.3,Robbie Chosen
JuJu Smith-Schuster,4,WR,13.9,Jakobi Meyers
Justin Jefferson,22.3,WR,8,CeeDee Lamb
Rob Gronkowski,7.5,TE,10.2,Logan Thomas
Justin Tucker,15,K,6,Harrison Butker
San Francisco 49ers,2,D/ST,2,Pittsburgh Steelers

