JuJu and JuJuJu (Justin x3),145.08,vs.,120.78,Munch and the Munchkins
Justin Herbert,17.68,QB,11.28,Tyler Huntley
Rex Burkhead,10.9,RB,6.2,Cordarrelle Patterson
Chase Edmonds,10.7,RB,19.2,D'Onta Foreman
Josh Jacobs,16,RB,17.2,Damien Harris
Tyreek Hill,7.2,WR,7.7,Stefon Diggs
Michael Gallup,11.1,WR,9.3,Rashod Bateman
Justin Jefferson,8.8,WR,6.9,DeVonta Smith
Rob Gronkowski,15,TE,7.9,Kyle Pitts
Austin Ekeler,18.7,RB/WR/TE,5.1,Gerald Everett
Justin Tucker,15,K,11,Evan McPherson
San Francisco 49ers,14,D/ST,19,Tennessee Titans

JustinPaley's Team,90.32,vs.,95.72,LiamWallace's Team
Kyler Murray,22.92,QB,20.32,Aaron Rodgers
Devonta Freeman,8.2,RB,3.2,Ronald Jones
Devontae Booker,5.6,RB,19.1,David Montgomery
Nick Chubb,5.8,RB,—,Antonio Gibson
Hunter Henry,5.2,RB/WR/TE,11.9,Jamaal Williams
Emmanuel Sanders,—,WR,10.6,Tyler Lockett
Antonio Brown,4.1,WR,6.5,Russell Gage
Cooper Kupp,18.5,WR,17.1,Hunter Renfrow
Jared Cook,—,TE,0,Dawson Knox
Randy Bullock,11,K,3,Jason Sanders
Philadelphia Eagles,9,D/ST,4,Las Vegas Raiders

thomas10's Team,174.08,vs.,124.2,mdubey's Team
Taylor Heinicke,9.28,QB,20.9,Josh Allen
Joe Mixon,12.1,RB,7.2,Ameer Abdullah
Devin Singletary,23,RB,18.5,Alvin Kamara
Najee Harris,28.1,RB,17.4,Sony Michel
Brandin Cooks,16.1,WR,—,Jamison Crowder
Kalif Raymond,—,WR,6.6,CeeDee Lamb
DK Metcalf,27.9,WR,7.7,Tee Higgins
Rashaad Penny,31.5,RB/WR/TE,17.3,Jakobi Meyers
Dallas Goedert,10.1,TE,7.6,Zach Ertz
Chris Boswell,17,K,13,Daniel Carlson
Denver Broncos,-1,D/ST,8,Green Bay Packers

Pat n Ma'Homies,114.36,vs.,107.8,kevinlab's Team
Patrick Mahomes,20.86,QB,13.5,Ryan Tannehill
Dare Ogunbowale,13.8,RB,3.1,Latavius Murray
Travis Homer,2.7,RB,21.3,AJ Dillon
Myles Gaskin,2.3,RB,17.9,Jonathan Taylor
Marquise Brown,2.3,WR,4.4,DJ Moore
Terry McLaurin,9.6,WR,—,Jerry Jeudy
Brandon Aiyuk,11.4,WR,16.4,Darnell Mooney
Amon-Ra St. Brown,31.4,RB/WR/TE,16.2,Allen Lazard
George Kittle,4,TE,—,Donald Parham
Nick Folk,9,K,2,Matt Gay
Cleveland Browns,7,D/ST,13,Los Angeles Chargers

