LiamWallace's Team,103.76,vs.,121.1,kevinlab's Team
Aaron Rodgers,15.66,QB,21.2,Ryan Tannehill
Cordarrelle Patterson,15.7,RB,15,Devontae Booker
Zack Moss,8.8,RB,5.6,D'Andre Swift
Antonio Gibson,6.9,RB,19.7,Jonathan Taylor
Mike Evans,11.8,WR,7.9,DJ Moore
Tyler Lockett,20.2,WR,5.9,Jerry Jeudy
Courtland Sutton,5,WR,4.9,Jaylen Waddle
Jamaal Williams,—,RB/WR/TE,15,Randall Cobb
Travis Kelce,2.7,TE,13.9,T.J. Hockenson
Mason Crosby,6,K,8,Matt Gay
Washington Commanders,11,D/ST,4,Los Angeles Chargers

mdubey's Team,125.66,vs.,115.8,Munch and the Munchkins
Josh Allen,29.46,QB,22.6,Geno Smith
J.D. McKissic,13.3,RB,14,Damien Harris
Alvin Kamara,15.1,RB,4.4,James Robinson
Sony Michel,6.6,RB,13.6,Chuba Hubbard
CeeDee Lamb,14.2,WR,7.6,DeAndre Hopkins
Tee Higgins,11.7,WR,12.5,Stefon Diggs
Marquez Callaway,4.5,WR,2,DeVonta Smith
Jakobi Meyers,7.6,RB/WR/TE,16.8,Adam Thielen
Zach Ertz,6.2,TE,2.3,Kyle Pitts
Harrison Butker,8,K,7,Evan McPherson
Green Bay Packers,9,D/ST,13,Tennessee Titans

micnaumann's Team,137.42,vs.,162.16,The NFC Least
Jalen Hurts,11.22,QB,20.26,Joe Burrow
Ezekiel Elliott,9.3,RB,20.5,Aaron Jones
Dalvin Cook,7.8,RB,19.7,Elijah Mitchell
Khalil Herbert,7.8,RB,27.7,Michael Carter
Deebo Samuel,20.1,WR,26.5,A.J. Brown
Diontae Johnson,12.8,WR,11.6,Ja'Marr Chase
Michael Pittman,25.6,WR,2,Rondale Moore
Keenan Allen,16.7,RB/WR/TE,8.1,Chase Claypool
Dalton Schultz,2.1,TE,1.8,Noah Fant
Randy Bullock,12,K,10,Tyler Bass
Buffalo Bills,12,D/ST,14,Seattle Seahawks

JustinPaley's Team,99.86,vs.,160.3,thomas10's Team
Kyler Murray,9.06,QB,11.8,Taylor Heinicke
Brandon Bolden,2.6,RB,9.1,Mike Davis
Nick Chubb,7.4,RB,23.1,Joe Mixon
Ty Johnson,17.1,RB,19.5,Najee Harris
Cole Beasley,16,WR,17.3,Brandin Cooks
Mike Williams,2.9,WR,24,Chris Godwin
Cooper Kupp,21,WR,19.3,DK Metcalf
Emmanuel Sanders,0,RB/WR/TE,—,Julio Jones
Hunter Henry,3.8,TE,10.2,Dallas Goedert
Brandon McManus,6,K,3,Ryan Succop
Carolina Panthers,14,D/ST,23,Denver Broncos

Pat n Ma'Homies,97.9,vs.,114.1,Dak Label Player of the Game
Patrick Mahomes,14,QB,24.2,Matthew Stafford
Leonard Fournette,5.8,RB,4.4,Alex Collins
Darrell Henderson,21.8,RB,14,Darrel Williams
Myles Gaskin,7,RB,2.7,Kenneth Gainwell
Mecole Hardman,8.8,RB/WR/TE,17.7,Melvin Gordon
Terry McLaurin,5,WR,19.2,Robert Woods
Laviska Shenault,3.1,WR,12.5,DeVante Parker
Amon-Ra St. Brown,6.1,WR,6.6,Christian Kirk
C.J. Uzomah,5.3,TE,10.8,Dan Arnold
Nick Folk,15,K,3,Matt Prater
Cleveland Browns,6,D/ST,-1,Chicago Bears

BForm's Team,106.12,vs.,105.52,JuJu and JuJuJu (Justin x3)
Teddy Bridgewater,12.62,QB,13.82,Justin Herbert
Mark Ingram,6.2,RB,0.8,David Johnson
Derrick Henry,6.8,RB,21.4,Austin Ekeler
James Conner,14.2,RB,14.4,Chase Edmonds
Marvin Jones,6,WR,7.5,A.J. Green
Jarvis Landry,7.5,WR,21.4,Tyreek Hill
Amari Cooper,22.2,WR,3.1,Justin Jefferson
Allen Robinson,3.6,RB/WR/TE,7.9,Tim Patrick
Tyler Higbee,4,TE,2.2,Ricky Seals-Jones
Younghoe Koo,10,K,4,Chase McLaughlin
Los Angeles Rams,13,D/ST,9,Cincinnati Bengals

