JustinPaley's Team,135.1,vs.,141.06,Munch and the Munchkins
Kyler Murray,21.9,QB,19.16,Josh Johnson
Devonta Freeman,9,RB,7.8,Cordarrelle Patterson
Devontae Booker,6.6,RB,7.7,D'Onta Foreman
Nick Chubb,25.9,RB,1,James Robinson
Hunter Henry,1.4,RB/WR/TE,30.2,Justin Jackson
Emmanuel Sanders,3,WR,5.5,Adam Thielen
Antonio Brown,15.1,WR,18,Stefon Diggs
Cooper Kupp,16.3,WR,16.5,DeVonta Smith
Jared Cook,7.9,TE,13.2,Kyle Pitts
Randy Bullock,9,K,11,Evan McPherson
Philadelphia Eagles,19,D/ST,11,Tennessee Titans

JuJu and JuJuJu (Justin x3),122.84,vs.,120.68,LiamWallace's Team
Justin Herbert,16.94,QB,19.98,Aaron Rodgers
Rex Burkhead,27.9,RB,15.1,Ronald Jones
Chase Edmonds,22.7,RB,20.1,David Montgomery
Josh Jacobs,10.9,RB,12.8,Antonio Gibson
Nick Westbrook-Ikhine,4.8,RB/WR/TE,7.7,Jamaal Williams
Tyreek Hill,2.9,WR,4.5,Tyler Lockett
Michael Gallup,6.3,WR,3.9,Russell Gage
Justin Jefferson,15.6,WR,11.5,Hunter Renfrow
Rob Gronkowski,2.8,TE,8.1,Dawson Knox
Justin Tucker,3,K,9,Jason Sanders
San Francisco 49ers,9,D/ST,8,Las Vegas Raiders

Pat n Ma'Homies,78.12,vs.,148.36,mdubey's Team
Patrick Mahomes,22.32,QB,30.96,Josh Allen
Darrell Henderson,1.7,RB,2.4,Ameer Abdullah
Travis Homer,0,RB,6.9,Alvin Kamara
Myles Gaskin,2.1,RB,20,Sony Michel
Marquise Brown,6.9,WR,—,Jamison Crowder
Terry McLaurin,5.5,WR,8.4,CeeDee Lamb
Brandon Aiyuk,12,WR,37.4,Tee Higgins
Amon-Ra St. Brown,21.5,RB/WR/TE,8.9,Jakobi Meyers
George Kittle,3.1,TE,9.4,Zach Ertz
Nick Folk,3,K,6,Daniel Carlson
Cleveland Browns,0,D/ST,18,Green Bay Packers

kevinlab's Team,82.06,vs.,114.64,thomas10's Team
Ryan Tannehill,14.56,QB,4.74,Taylor Heinicke
Latavius Murray,2.9,RB,28.5,Joe Mixon
AJ Dillon,7.1,RB,16.3,Devin Singletary
Jonathan Taylor,10.8,RB,13.5,Najee Harris
Allen Lazard,12.8,RB/WR/TE,19.5,Rashaad Penny
DJ Moore,8,WR,3.2,Kalif Raymond
Jerry Jeudy,7.5,WR,—,Curtis Samuel
Darnell Mooney,8.4,WR,11.1,DK Metcalf
Donald Parham,—,TE,3.8,Dallas Goedert
Matt Gay,12,K,4,Chris Boswell
Los Angeles Chargers,-2,D/ST,10,Denver Broncos

