JuJu and JuJuJu (Justin x3),165.68,vs.,120.5,Munch and the Munchkins
Justin Herbert,19.72,QB,9.4,Lamar Jackson
David Johnson,6.5,RB,3.5,Christian McCaffrey
Austin Ekeler,18.9,RB,11.7,Damien Harris
Josh Jacobs,18.2,RB,11,James Robinson
Kendrick Bourne,20.6,WR,26.5,Cordarrelle Patterson
Michael Gallup,13.1,WR,16.9,Stefon Diggs
Justin Jefferson,11.26,WR,4.2,DeVonta Smith
DeAndre Carter,6.6,RB/WR/TE,20.7,Adam Thielen
Rob Gronkowski,15.8,TE,3.6,Kyle Pitts
Justin Tucker,13,K,13,Evan McPherson
Cincinnati Bengals,22,D/ST,0,Tennessee Titans

LiamWallace's Team,126.48,vs.,95.6,thomas10's Team
Aaron Rodgers,26.28,QB,11.2,Jimmy Garoppolo
David Montgomery,8.9,RB,5.6,Mike Davis
Zack Moss,—,RB,30.3,Joe Mixon
Antonio Gibson,20.1,RB,5.2,Najee Harris
Courtland Sutton,2.7,RB/WR/TE,5.3,Devin Singletary
Mike Evans,3.1,WR,12,Brandin Cooks
Tyler Lockett,11.1,WR,2.7,Chris Godwin
Hunter Renfrow,17.6,WR,1.8,DK Metcalf
Dawson Knox,16.7,TE,0.5,Dallas Goedert
Mason Crosby,13,K,8,Ryan Succop
Washington Commanders,7,D/ST,13,Baltimore Ravens

The NFC Least,127.8,vs.,128.7,Dak Label Player of the Game
Joe Burrow,16.4,QB,25.3,Dak Prescott
Tevin Coleman,8,RB,9.3,Melvin Gordon
Elijah Mitchell,25.3,RB,7.3,Saquon Barkley
Javonte Williams,18.6,RB,14.8,Tony Pollard
Cole Kmet,10.5,RB/WR/TE,6.9,Miles Sanders
Danny Amendola,3.8,WR,14.4,Davante Adams
Chase Claypool,9.7,WR,6.5,Kenny Golladay
Ja'Marr Chase,5.4,WR,13.9,Cedrick Wilson
Dalton Schultz,14.1,TE,4.3,Darren Waller
Tyler Bass,7,K,8,Michael Badgley
Dallas Cowboys,9,D/ST,18,New England Patriots

kevinlab's Team,160.1,vs.,74.92,JustinPaley's Team
Mac Jones,21.5,QB,15.52,Kirk Cousins
AJ Dillon,17.5,RB,6.5,Devonta Freeman
D'Andre Swift,2.4,RB,4,Kenyan Drake
Jonathan Taylor,17.7,RB,4.9,Nick Chubb
DJ Moore,12.3,WR,7.1,Cole Beasley
Darnell Mooney,15,WR,5.9,Mike Williams
Jaylen Waddle,24.2,WR,15.1,Cooper Kupp
Jerry Jeudy,3.5,RB/WR/TE,4.3,Emmanuel Sanders
T.J. Hockenson,11,TE,2.6,Hunter Henry
Greg Zuerlein,8,K,4,Brandon McManus
Miami Dolphins,27,D/ST,5,Carolina Panthers

Pat n Ma'Homies,157.02,vs.,115.16,micnaumann's Team
Tyrod Taylor,15.32,QB,6.86,Jalen Hurts
Leonard Fournette,40.6,RB,13.9,Ezekiel Elliott
Darrell Henderson,15.3,RB,11.3,Dalvin Cook
Myles Gaskin,18.2,RB,2.3,Aaron Jones
Marquise Brown,9.1,WR,20.3,Deebo Samuel
Terry McLaurin,7.1,WR,14,Diontae Johnson
Brandon Aiyuk,11,WR,7.3,Elijah Moore
Rhamondre Stevenson,4.6,RB/WR/TE,12,Keenan Allen
George Kittle,1.8,TE,3.2,Mike Gesicki
Nick Folk,21,K,11,Robbie Gould
Cleveland Browns,13,D/ST,13,Buffalo Bills

BForm's Team,66.48,vs.,113.7,mdubey's Team
Russell Wilson,19.48,QB,26.7,Josh Allen
Mark Ingram,—,RB,20.1,J.D. McKissic
Giovani Bernard,—,RB,2,Kareem Hunt
Carlos Hyde,1.6,RB,2.7,Tony Jones
Marvin Jones,6.3,WR,2,Robbie Chosen
Jarvis Landry,12.1,WR,12.3,Jakobi Meyers
Nelson Agholor,3.5,WR,20.4,Tee Higgins
Marquez Valdes-Scantling,7,RB/WR/TE,1,Jamison Crowder
Mark Andrews,14.5,TE,3.5,Tyler Conklin
Jake Elliott,1,K,21,Daniel Carlson
Los Angeles Rams,1,D/ST,2,Pittsburgh Steelers

