thomas10's Team,121.54,vs.,137.76,Munch and the Munchkins
Jimmy Garoppolo,15.64,QB,26.16,Cam Newton
Mike Davis,3.6,RB,21.4,Christian McCaffrey
Joe Mixon,24.3,RB,7,Damien Harris
Najee Harris,14.4,RB,10.8,James Robinson
Brandin Cooks,2.8,WR,18.2,Adam Thielen
Chris Godwin,16.2,WR,16.3,Stefon Diggs
DK Metcalf,5.1,WR,8.1,DeVonta Smith
Devin Singletary,5.8,RB/WR/TE,4.4,Rashod Bateman
Dallas Goedert,8.7,TE,4.4,Kyle Pitts
Ryan Succop,13,K,21,Evan McPherson
Baltimore Ravens,12,D/ST,0,Tennessee Titans

BForm's Team,102.68,vs.,114.84,Dak Label Player of the Game
Russell Wilson,8.48,QB,2.64,Dak Prescott
Mark Ingram,12.3,RB,8.6,Saquon Barkley
Giovani Bernard,0.8,RB,6.3,Jeff Wilson
James Conner,18.4,RB,7.4,Miles Sanders
Allen Robinson,—,RB/WR/TE,3.6,Alex Collins
Marvin Jones,7.2,WR,27,Davante Adams
Jarvis Landry,12.2,WR,1.7,Kenny Golladay
Amari Cooper,—,WR,3.5,Christian Kirk
Mark Andrews,11.3,TE,15.1,Darren Waller
Jake Elliott,19,K,7,Matt Prater
Arizona Cardinals,13,D/ST,32,New England Patriots

kevinlab's Team,178.22,vs.,136.68,micnaumann's Team
Ryan Tannehill,9.22,QB,19.28,Tom Brady
AJ Dillon,12.7,RB,9.8,Ezekiel Elliott
D'Andre Swift,21.1,RB,21,Dalvin Cook
Jonathan Taylor,51.9,RB,14.6,Clyde Edwards-Helaire
DJ Moore,13.5,WR,15.9,Deebo Samuel
Darnell Mooney,20.6,WR,19.6,Diontae Johnson
Jaylen Waddle,16.6,WR,3.3,Michael Pittman
Kadarius Toney,7.5,RB/WR/TE,15.7,Keenan Allen
T.J. Hockenson,8.1,TE,7.5,Mike Gesicki
Greg Zuerlein,10,K,14,Robbie Gould
Miami Dolphins,7,D/ST,-4,Buffalo Bills

The NFC Least,80.02,vs.,129.3,LiamWallace's Team
Joe Burrow,9.02,QB,33.5,Aaron Rodgers
Jordan Howard,6.3,RB,7.2,David Montgomery
Brian Hill,—,RB,0.5,Zack Moss
Michael Carter,7,RB,7.5,Antonio Gibson
A.J. Brown,7.3,WR,17.3,Mike Evans
Chase Claypool,11.9,WR,13.5,Tyler Lockett
Ja'Marr Chase,11.5,WR,5.5,Hunter Renfrow
Dalton Schultz,8.3,TE,16.3,Travis Kelce
Cole Kmet,1.7,RB/WR/TE,11,Dawson Knox
Zane Gonzalez,3,K,9,Mason Crosby
Tampa Bay Buccaneers,14,D/ST,8,Las Vegas Raiders

Pat n Ma'Homies,120.2,vs.,180.58,JuJu and JuJuJu (Justin x3)
Patrick Mahomes,7.5,QB,34.28,Justin Herbert
Leonard Fournette,10.4,RB,-0.3,Wayne Gallman
Myles Gaskin,17.1,RB,38.5,Austin Ekeler
Rhamondre Stevenson,8,RB,8.6,Josh Jacobs
Marquise Brown,—,WR,15.5,Tyreek Hill
Terry McLaurin,18.8,WR,6.9,Michael Gallup
Brandon Aiyuk,18,WR,33.2,Justin Jefferson
Corey Davis,5,RB/WR/TE,9.8,A.J. Green
George Kittle,11.4,TE,10.1,Rob Gronkowski
Nick Folk,16,K,11,Justin Tucker
Cleveland Browns,8,D/ST,13,San Francisco 49ers

JustinPaley's Team,101.64,vs.,80.66,mdubey's Team
Kirk Cousins,25.24,QB,16.16,Josh Allen
Brandon Bolden,2.6,RB,5.4,Adrian Peterson
Kenyan Drake,3.4,RB,5.5,J.D. McKissic
Nick Chubb,21.4,RB,—,Salvon Ahmed
Cole Beasley,4.3,WR,5.5,Robbie Chosen
Mike Williams,18.2,WR,2.9,CeeDee Lamb
Tre'Quan Smith,8.9,WR,2.5,Tee Higgins
Emmanuel Sanders,4.1,RB/WR/TE,5.9,Jakobi Meyers
Hunter Henry,3.5,TE,24.8,Zach Ertz
Randy Bullock,1,K,8,Daniel Carlson
Carolina Panthers,9,D/ST,4,Green Bay Packers

