Dirty Kev and the Boyz,94.6,vs.,110.26,Juju and Jujuju
Trevor Lawrence,24.9,QB,8.42,Justin Herbert
AJ Dillon,7.2,RB,19.3,Austin Ekeler
Eno Benjamin,8.0,RB,0.9,Mike Boone
J.K. Dobbins,1.5,RB,4.1,Chase Edmonds
Jaylen Waddle,13.9,WR,13.7,Justin Jefferson
DJ Moore,2.2,WR,23.7,Tyreek Hill
Jerry Jeudy,6.9,WR,19.8,JuJu Smith-Schuster
Irv Smith,7.7,TE,5.4,Gerald Everett
Darnell Mooney,10.3,WR/RB/TE,4.54,Taysom Hill
Matt Gay,6.0,K,8.4,Justin Tucker
LAC,6.0,D/ST,2.0,SF

Munch and McMunchkins,141.8,vs.,136.02,PatnMahomies
Lamar Jackson,15.1,QB,19.62,Patrick Mahomes
Christian McCaffrey,19.3,RB,19.1,Leonard Fournette
Tevin Coleman,0.3,RB,18.0,Kenneth Walker
James Robinson,6.0,RB,23.1,Rhamondre Stevenson
Stefon Diggs,25.8,WR,5.7,Terry McLaurin
Alec Pierce,12.4,WR,24.3,Brandon Aiyuk
Adam Thielen,13.6,WR,6.2,Corey Davis
Travis Kelce,15.2,TE,7.3,David Njoku
DeVonta Smith,12.9,WR/RB/TE,8.3,Marquise Brown
Evan McPherson,8.2,K,4.4,Greg Joseph
MIN,13.0,D/ST,0.0,CLE

J E T S NONONO,86.68,vs.,88.72,Los Angeles Rams
Kyler Murray,13.88,QB,11.82,Matthew Stafford
Nick Chubb,7.5,RB,17.0,Saquon Barkley
Tyler Allgeier,5.1,RB,0.5,Jeff Wilson
DeeJay Dallas,0.1,RB,13.7,Miles Sanders
Cooper Kupp,13.2,WR,1.3,Garrett Wilson
Romeo Doubs,4.1,WR,14.9,Gabe Davis
Mike Williams,2.7,WR,8.8,Christian Kirk
Hayden Hurst,3.6,TE,6.5,Evan Engram
Allen Lazard,15.6,WR/RB/TE,0.8,Melvin Gordon
Brandon McManus,13.9,K,5.4,Jason Sanders
PHI,7.0,D/ST,8.0,CHI

Inferno F.C.,103.94,vs.,114.96,CeeDee’s Nutz
Jimmy Garoppolo,16.94,QB,26.36,Josh Allen
Najee Harris,11.9,RB,15.4,Alvin Kamara
Joe Mixon,14.8,RB,1.2,Kareem Hunt
Devin Singletary,12.7,RB,19.1,Breece Hall
DK Metcalf,4.4,WR,10.2,CeeDee Lamb
Chris Godwin,12.5,WR,7.7,Tee Higgins
Curtis Samuel,1.6,WR,8.0,Jakobi Meyers
Dallas Goedert,3.2,TE,10.5,Zach Ertz
Drake London,5.5,WR/RB/TE,1.9,Isaiah McKenzie
Ryan Succop,14.4,K,12.6,Harrison Butker
BAL,6.0,D/ST,2.0,GB

Aaron’s Drug Adventures,54.44,vs.,91.18,bformell
Aaron Rodgers,10.84,QB,11.68,Geno Smith
Antonio Gibson,6.8,RB,6.2,Mark Ingram
David Montgomery,8.5,RB,5.3,Raheem Mostert
Caleb Huntley,5.9,RB,4.5,Jerick McKinnon
Mike Evans,6.2,WR,12.4,Amari Cooper
Tyler Lockett,2.7,WR,14.8,Allen Robinson
Courtland Sutton,2.4,WR,0.0,Marquez Valdes-Scantling
Will Dissly,1.7,TE,20.1,Mark Andrews
Russell Gage,3.0,WR/RB/TE,1.2,Tyler Higbee
Graham Gano,6.4,K,4.0,Younghoe Koo
JAX,0.0,D/ST,11.0,LAR

klabs_smelly_dookey,132.7,vs.,155.5,The Hardly Know 'Ers
Jalen Hurts,15.9,QB,32.5,Joe Burrow
Dalvin Cook,14.8,RB,23.1,Deon Jackson
Aaron Jones,5.9,RB,10.8,Travis Etienne
Ezekiel Elliott,15.1,RB,0.0,Joshua Kelley
Michael Pittman,19.9,WR,28.7,Ja'Marr Chase
Diontae Johnson,6.1,WR,15.2,A.J. Brown
Deebo Samuel,12.5,WR,7.9,Rondale Moore
Mike Gesicki,21.9,TE,7.5,Noah Fant
Tyler Boyd,9.6,WR/RB/TE,19.9,Chase Claypool
Brett Maher,5.0,K,6.9,Tyler Bass
IND,6.0,D/ST,3.0,TB

