Dirty Kev and the Boyz,69.54,vs.,125.66,bformell
Trevor Lawrence,10.34,QB,8.16,Russell Wilson
AJ Dillon,3.4,RB,26.2,Derrick Henry
Eno Benjamin,12.8,RB,6.8,James Conner
J.K. Dobbins,4.4,RB,18.7,Raheem Mostert
Jaylen Waddle,3.8,WR,17.1,Amari Cooper
Chris Olave,13.4,WR,2.7,Allen Robinson
Jerry Jeudy,6.8,WR,12.0,Marquez Valdes-Scantling
T.J. Hockenson,1.1,TE,18.9,Mark Andrews
Allen Lazard,11.5,WR/RB/TE,8.1,Tyler Higbee
Matt Gay,4.0,K,1.0,Younghoe Koo
MIA,-2.0,D/ST,6.0,LAR

Munch and McMunchkins,131.96,vs.,152.04,Juju and Jujuju
Lamar Jackson,14.76,QB,14.42,Justin Herbert
Christian McCaffrey,19.9,RB,33.9,Austin Ekeler
Damien Harris,1.7,RB,27.8,Josh Jacobs
James Robinson,4.9,RB,0.1,Chase Edmonds
Stefon Diggs,20.2,WR,24.32,Justin Jefferson
Alec Pierce,11.1,WR,9.5,Tyreek Hill
Adam Thielen,4.7,WR,2.7,Zay Jones
Travis Kelce,30.0,TE,0.7,Gerald Everett
DeVonta Smith,13.7,WR/RB/TE,4.8,JuJu Smith-Schuster
Evan McPherson,6.0,K,17.8,Justin Tucker
MIN,5.0,D/ST,16.0,SF

J E T S NONONO,124.8,vs.,122.06,klabs_smelly_dookey
Kyler Murray,16.2,QB,27.66,Jalen Hurts
Nick Chubb,25.4,RB,25.1,Dalvin Cook
Tyler Allgeier,4.5,RB,9.0,Aaron Jones
Jamaal Williams,5.6,RB,5.0,Clyde Edwards-Helaire
Cooper Kupp,22.4,WR,8.4,Michael Pittman
Romeo Doubs,4.4,WR,8.5,Diontae Johnson
Mike Williams,18.4,WR,10.2,Deebo Samuel
Hunter Henry,7.4,TE,2.2,Pat Freiermuth
Robert Tonyan,4.3,WR/RB/TE,1.1,Khalil Herbert
Brandon McManus,12.2,K,11.9,Brett Maher
PHI,4.0,D/ST,13.0,BUF

Inferno F.C.,114.22,vs.,101.08,The Hardly Know 'Ers
Jimmy Garoppolo,17.02,QB,17.28,Joe Burrow
Najee Harris,5.1,RB,11.1,Deon Jackson
Joe Mixon,10.3,RB,12.9,Travis Etienne
Devin Singletary,5.1,RB,18.8,Dameon Pierce
DK Metcalf,15.3,WR,8.5,Ja'Marr Chase
Chris Godwin,9.3,WR,4.7,A.J. Brown
Brandin Cooks,4.0,WR,9.6,Rondale Moore
Dallas Goedert,13.5,TE,0.0,Dalton Schultz
Curtis Samuel,9.2,WR/RB/TE,3.7,Robbie Chosen
Ryan Succop,8.4,K,8.5,Tyler Bass
DEN,17.0,D/ST,6.0,TEN

CeeDee’s Nutz,167.96,vs.,153.02,Los Angeles Rams
Josh Allen,35.16,QB,10.32,Matthew Stafford
Alvin Kamara,20.4,RB,18.1,Saquon Barkley
Kareem Hunt,13.2,RB,11.8,Melvin Gordon
Breece Hall,26.7,RB,7.4,Miles Sanders
CeeDee Lamb,7.8,WR,24.9,Davante Adams
Tee Higgins,0.0,WR,30.6,Gabe Davis
Jakobi Meyers,20.6,WR,1.6,Christian Kirk
Zach Ertz,7.8,TE,0.0,Darren Waller
Michael Carter,16.3,WR/RB/TE,19.7,Jeff Wilson
Daniel Carlson,17.0,K,6.6,Jason Sanders
GB,3.0,D/ST,22.0,NE

Aaron’s Drug Adventures,100.28,vs.,139.68,PatnMahomies
Aaron Rodgers,15.88,QB,30.48,Patrick Mahomes
Antonio Gibson,5.4,RB,30.9,Leonard Fournette
David Montgomery,16.2,RB,5.0,Darrell Henderson
Nyheim Hines,1.3,RB,18.5,Rhamondre Stevenson
Mike Evans,10.1,WR,10.1,Terry McLaurin
Tyler Lockett,24.9,WR,7.3,Brandon Aiyuk
Courtland Sutton,9.9,WR,4.8,Corey Davis
Will Dissly,3.1,TE,11.8,David Njoku
Hunter Renfrow,4.5,WR/RB/TE,17.8,Marquise Brown
Cade York,4.0,K,3.0,Greg Joseph
JAX,5.0,D/ST,0.0,CLE

